job_title,job_url,company,location,skills,job_description,category
Data Scientist I - ML,https://www.karkidi.comN/A,Cotiviti,United States,"AI, Azure, Big Data, Data Science, GCP, Machine Learning, Recruitment","Aartificial intelligence,Azure,Big Data Technology,Data science techniques,Databricks,Generative AI,Google Cloud Platform (GCP),Machine learning techniques,Planning and organization,US Healthcare Recruitment",Data Science & Analytics
Senior Data Engineer (Ingeniero de Datos Senior),https://www.karkidi.comN/A,Cotiviti,"Mexico City, Mexico","AI, AWS, Big Data, Data Science, Excel, Hadoop, MySQL, Oracle, SQL, Spark","Apache Airflow,Apache Hadoop,AWS,Big Data Technology,Continuous Integration & Continuous Delivery - CI/CD,Data Analytics,Data Engineering,Data science techniques,Microsoft-Excel,MLflow,MLOps tools,MySQL,Oracle,Powerpoint,SPARK Programming,SQL,SQL Server",Software Development
Data Scientist II (Científico de Datos II),https://www.karkidi.comN/A,Cotiviti,"Mexico City, Mexico","AI, Data Science, Excel, Hadoop, Machine Learning, PyTorch, Python, SQL, Spark, TensorFlow","Apache Airflow,Apache Hadoop,Data Biuld Tool - dbt,Data science techniques,DataRobot,Machine learning techniques,Microsoft Office suites,Microsoft-Excel,Powerpoint,Python Programming,PyTorch,Spanish language,SPARK Programming,SQL,TensorFlow,Writing,XGBoost",Software Development
"Senior Machine Learning Engineer, Trust & Safety",https://www.karkidi.comN/A,Gemini,"New York, NY, USA; Miami, FL, USA; Seattle, WA, USA","AWS, Data Science, Machine Learning, NLP","AWS Sagemaker,Data Analytics,Data science techniques,Databricks,Machine learning techniques,MLflow,Natural Language Processing (NLP),Snowflake",Software Development
"Senior Data Scientist, Trust & Safety",https://www.karkidi.comN/A,Gemini,"New York, NY, USA; Miami, FL, USA; Seattle, WA, USA","Data Science, Python, SQL","Amazon RedShift,Data Analytics,Data science techniques,Effective communication skills,ETL frameworks,Google BigQuery,Python Programming,Snowflake,SQL",Software Development
"Senior Software Engineer, Core Services & Resilience (Full Stack/Backend leaning)",https://www.karkidi.comN/A,Viam,"New York, NY, USA","AI, GCP, Linux, MongoDB","Aartificial intelligence,AI Robotic systems,Analytical and Problem solving,Google Cloud Platform (GCP),Linux Operating system,MongoDB,Teamwork",Software Development
"Senior/Staff Software Engineer, Data (Backend)",https://www.karkidi.comN/A,Viam,"New York, NY, USA","AWS, C++, GCP, Java, Machine Learning, MongoDB, Python","Aartificial intelligence,AWS,C Programming,C++,Data Visualization,GoLang,Google Cloud Platform (GCP),Java Programming,Machine learning techniques,MongoDB,Python Programming",Software Development
"Staff Software Engineer, Infrastructure Engineering",https://www.karkidi.comN/A,Viam,"New York, NY, USA","AWS, GCP, Git, Machine Learning","Aartificial intelligence,AWS,Continuous Integration & Continuous Delivery - CI/CD,Github,Google Cloud Platform (GCP),Grafana,Infrastructure as code,Large Language Models - LLMs,Machine learning techniques,Optimization",Software Development
Data In Action Mentor (Summer 2025),https://www.karkidi.comN/A,SureStart,"New York, NY, USA",Data Science,"Data Analytics,Data science techniques,Effective communication skills",Other
"Principal Product Manager - Growth, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",Switzerland,"AI, Data Science, NumPy, Pandas, Python, SQL","Aartificial intelligence,Data Analytics,Data science techniques,Effective communication skills,Generative AI,GPT,NumPy,Pandas,Product Management,Python Programming,SQL",Software Development
"Principal Product Manager - Growth, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",Serbia,"AI, Data Science, NumPy, Pandas, Python, SQL","Aartificial intelligence,Data Analytics,Data science techniques,Effective communication skills,Generative AI,GPT,NumPy,Pandas,Product Management,Python Programming,SQL",Software Development
"Principal Product Manager - Growth, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",Israel,"AI, Data Science, NumPy, Pandas, Python, SQL","Aartificial intelligence,Data Analytics,Data science techniques,Effective communication skills,Generative AI,GPT,NumPy,Pandas,Product Management,Python Programming,SQL",Software Development
"Principal Product Manager - Growth, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",Poland,"AI, Data Science, NumPy, Pandas, Python, SQL","Aartificial intelligence,Data Analytics,Data science techniques,Effective communication skills,Generative AI,GPT,NumPy,Pandas,Product Management,Python Programming,SQL",Software Development
"Principal Product Manager - Growth, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",Denmark,"AI, Data Science, NumPy, Pandas, Python, SQL","Aartificial intelligence,Data Analytics,Data science techniques,Effective communication skills,Generative AI,GPT,NumPy,Pandas,Product Management,Python Programming,SQL",Software Development
"Principal Product Manager - Growth, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",India,"AI, Data Science, NumPy, Pandas, Python, SQL","Aartificial intelligence,Data Analytics,Data science techniques,Effective communication skills,Generative AI,GPT,NumPy,Pandas,Product Management,Python Programming,SQL",Software Development
"Principal Product Manager - Growth, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",United Kingdom,"AI, Data Science, NumPy, Pandas, Python, SQL","Aartificial intelligence,Data Analytics,Data science techniques,Effective communication skills,Generative AI,GPT,NumPy,Pandas,Product Management,Python Programming,SQL",Software Development
"Principal Product Manager - Growth, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",Germany,"AI, Data Science, NumPy, Pandas, Python, SQL","Aartificial intelligence,Data Analytics,Data science techniques,Effective communication skills,Generative AI,GPT,NumPy,Pandas,Product Management,Python Programming,SQL",Software Development
"Principal Product Manager - Growth, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",France,"AI, Data Science, NumPy, Pandas, Python, SQL","Aartificial intelligence,Data Analytics,Data science techniques,Effective communication skills,Generative AI,GPT,NumPy,Pandas,Product Management,Python Programming,SQL",Software Development
